Wall time,Step,Value
1683503879.3883963,377,-143.98825073242188
1683503879.4672697,785,-222.3573760986328
1683503879.5427535,1154,-191.59422302246094
1683503879.607279,1505,-187.2100830078125
1683503879.6793628,1870,-187.9522705078125
1683503879.761278,2302,-190.51608276367188
1683503879.837297,2698,-188.53285217285156
1683503879.9088051,3065,-203.1238250732422
1683503879.9798286,3440,-196.8940887451172
1683503880.038346,3759,-193.25074768066406
1683503880.1148863,4160,-189.65121459960938
1683503880.1879108,4537,-186.23550415039062
1683503880.253323,4880,-181.13514709472656
1683503880.3207867,5240,-179.32244873046875
1683503880.3988037,5650,-183.70584106445312
1683503880.4917998,6112,-187.13912963867188
1683503880.558322,6468,-188.10861206054688
1683503880.6367989,6886,-189.7063446044922
1683503880.7073116,7260,-186.00692749023438
1683503880.7703245,7597,-185.35772705078125
1683503880.8288395,7916,-183.9800567626953
1683503880.905361,8311,-183.5968780517578
1683503880.9703817,8659,-186.21246337890625
1683503881.049812,9063,-186.15042114257812
1683503881.1208181,9441,-185.0044403076172
1683503881.193338,9821,-185.61561584472656
1683503882.129859,10176,-179.4345245361328
1683503882.194381,10513,-182.7142333984375
1683503882.2578676,10852,-182.90060424804688
1683503882.352416,11347,-182.48805236816406
1683503882.4324362,11767,-182.67520141601562
1683503882.5015616,12133,-180.88551330566406
1683503882.5668747,12479,-173.4222869873047
1683503882.6339214,12829,-177.4290008544922
1683503882.7063906,13210,-177.1092071533203
1683503882.7673798,13540,-179.1436004638672
1683503882.8333948,13888,-180.37716674804688
1683503882.9038835,14265,-182.6257781982422
1683503882.9614007,14579,-187.85430908203125
1683503883.0438967,15008,-184.2301025390625
1683503883.10889,15359,-182.81040954589844
1683503883.1645098,15656,-182.9185333251953
1683503883.2338986,15998,-179.14682006835938
1683503883.3034549,16355,-179.3307342529297
1683503883.370901,16694,-179.05177307128906
1683503883.4454234,17088,-187.86672973632812
1683503883.5054245,17419,-188.4639129638672
1683503883.5658994,17745,-183.20855712890625
1683503883.6399155,18132,-188.77134704589844
1683503883.7049155,18491,-192.33651733398438
1683503883.7694213,18828,-193.8794708251953
1683503883.8444953,19219,-192.10614013671875
1683503883.9159265,19606,-192.6143341064453
1683503883.990922,19994,-191.27798461914062
1683503884.0444396,20278,-191.56898498535156
1683503884.1099336,20642,-189.90402221679688
1683503884.1759524,20982,-191.37416076660156
1683503884.2399309,21323,-193.57838439941406
1683503884.3069398,21681,-191.05809020996094
1683503884.3739445,22038,-189.6947479248047
1683503884.439546,22383,-187.5113525390625
1683503884.4999433,22707,-186.32452392578125
1683503884.5849576,23151,-186.6122589111328
1683503884.6619582,23559,-179.12734985351562
1683503884.7333753,23929,-176.33287048339844
