Wall time,Step,Value
1683470541.9542072,2048,-170.95338439941406
1683470546.8318644,4096,-177.2156982421875
1683470551.7135942,6144,-155.64642333984375
1683470556.7128396,8192,-151.76954650878906
1683470561.8851573,10240,-145.3114776611328
1683470566.99523,12288,-135.99412536621094
1683470572.0414858,14336,-133.45750427246094
1683470577.1006308,16384,-137.127685546875
1683470582.3244312,18432,-139.30039978027344
1683470587.8475678,20480,-141.02023315429688
1683470593.6682928,22528,-146.136474609375
1683470600.8346052,24576,-143.62940979003906
1683470606.4784393,26624,-149.7146453857422
1683470612.173038,28672,-146.3191680908203
1683470617.5581586,30720,-154.31698608398438
1683470623.3589854,32768,-156.93829345703125
1683470629.1681085,34816,-161.2270050048828
1683470635.2609513,36864,-158.7081756591797
1683470641.4155042,38912,-151.1157989501953
1683470647.3630497,40960,-148.3007354736328
1683470653.2985525,43008,-147.1058349609375
1683470660.2677722,45056,-137.769775390625
1683470666.53906,47104,-136.4410858154297
1683470672.5137448,49152,-129.80467224121094
1683470679.6449494,51200,-123.58007049560547
1683470686.6607573,53248,-120.02263641357422
1683470693.7960312,55296,-116.84449768066406
1683470700.7843227,57344,-111.92304229736328
1683470707.217131,59392,-108.72467041015625
1683470714.7268143,61440,-102.56034088134766
1683470721.4265833,63488,-97.60789489746094
1683470728.0879176,65536,-96.65054321289062
1683470735.44418,67584,-93.8024673461914
1683470741.9603453,69632,-91.7890396118164
1683470748.7880855,71680,-90.6317367553711
1683470755.6879444,73728,-90.39066314697266
1683470762.5756896,75776,-88.57072448730469
1683470770.1503992,77824,-85.22108459472656
1683470777.583089,79872,-82.82486724853516
1683470784.0389268,81920,-79.85768127441406
1683470791.6462722,83968,-76.45763397216797
1683470798.9263601,86016,-73.80352783203125
1683470805.1674645,88064,-74.19190216064453
1683470812.3785236,90112,-75.11429595947266
1683470819.8661091,92160,-76.26165771484375
1683470826.4566178,94208,-75.72877502441406
1683470833.2343426,96256,-74.7613296508789
1683470840.7737556,98304,-71.77482604980469
1683470849.2313735,100352,-67.43285369873047
1683470855.5739698,102400,-64.42882537841797
1683470862.815189,104448,-64.64801025390625
1683470869.3915725,106496,-65.4770736694336
1683470876.0679448,108544,-61.18031692504883
1683470882.629043,110592,-61.31732177734375
1683470889.698963,112640,-62.408050537109375
1683470897.2636526,114688,-63.35478973388672
1683470904.150338,116736,-62.80690383911133
1683470911.768598,118784,-64.59357452392578
1683470918.714166,120832,-65.34808349609375
1683470925.2249553,122880,-65.01908874511719
1683470932.991912,124928,-65.84375762939453
1683470940.1875582,126976,-67.068603515625
1683470946.6861343,129024,-72.4079360961914
1683470953.420039,131072,-74.49703216552734
1683470959.8277187,133120,-76.14237976074219
1683470967.067393,135168,-76.03180694580078
1683470974.5647147,137216,-80.59371185302734
1683470982.0042164,139264,-81.4849624633789
1683470988.5316916,141312,-82.75257110595703
1683470995.3863025,143360,-84.08900451660156
1683471002.0751898,145408,-86.21449279785156
1683471009.8235717,147456,-88.19904327392578
1683471016.8061366,149504,-89.639892578125
1683471023.5805252,151552,-93.36109161376953
1683471029.8795047,153600,-95.55702209472656
1683471036.567191,155648,-94.66080474853516
1683471043.8925574,157696,-94.18804168701172
1683471050.8486874,159744,-94.31652069091797
1683471056.843713,161792,-94.43680572509766
1683471063.107698,163840,-96.11482238769531
1683471069.7437904,165888,-96.37297821044922
1683471076.2381172,167936,-96.42279815673828
1683471082.6811836,169984,-98.67898559570312
1683471090.137299,172032,-99.75399780273438
1683471096.7372513,174080,-100.080322265625
1683471103.6055048,176128,-98.31189727783203
1683471110.8788881,178176,-97.53347778320312
1683471117.3087835,180224,-97.21558380126953
1683471124.8965678,182272,-96.55067443847656
1683471132.070226,184320,-96.72591400146484
1683471138.505583,186368,-97.50772857666016
1683471145.402496,188416,-96.6240463256836
1683471152.090861,190464,-96.49967193603516
1683471159.38819,192512,-98.89332580566406
1683471167.2850266,194560,-99.01969146728516
1683471173.9724188,196608,-97.4273910522461
1683471181.6627808,198656,-98.97616577148438
1683471188.3703432,200704,-98.97132110595703
1683471195.1296356,202752,-99.33131408691406
1683471201.7073667,204800,-99.40415954589844
1683471208.8625107,206848,-98.17759704589844
1683471215.405687,208896,-96.49638366699219
1683471222.0682375,210944,-97.1010971069336
1683471229.3301053,212992,-97.37287139892578
1683471236.2416651,215040,-97.8945541381836
1683471243.0904539,217088,-96.4153823852539
1683471249.1881738,219136,-97.8062515258789
1683471256.379859,221184,-96.44573974609375
1683471263.0463448,223232,-96.86198425292969
1683471269.1739037,225280,-97.702392578125
1683471277.1528838,227328,-97.03134155273438
1683471285.653116,229376,-96.32723999023438
1683471291.8188584,231424,-95.94389343261719
1683471297.6889374,233472,-96.02130889892578
1683471304.1918259,235520,-95.5311279296875
1683471311.3035376,237568,-95.82720184326172
1683471318.6070862,239616,-96.44175720214844
1683471325.8907535,241664,-97.02434539794922
1683471331.6242373,243712,-98.58712005615234
1683471338.4733865,245760,-99.15898895263672
1683471345.8258274,247808,-99.23873901367188
1683471352.8394625,249856,-99.79180145263672
1683471360.8238547,251904,-99.33722686767578
1683471367.2751262,253952,-97.44184112548828
1683471374.1031084,256000,-97.5889663696289
1683471381.4295053,258048,-97.61383056640625
1683471387.082334,260096,-98.7176742553711
1683471393.6577973,262144,-99.06452178955078
1683471400.306717,264192,-98.66031646728516
1683471406.9390879,266240,-98.4150161743164
1683471412.903152,268288,-99.47959899902344
1683471420.3929727,270336,-99.271484375
1683471427.1113744,272384,-98.38868713378906
1683471433.2075267,274432,-97.51826477050781
1683471439.4546173,276480,-98.60738372802734
1683471445.630294,278528,-98.45793914794922
1683471451.9042833,280576,-96.9842529296875
1683471458.7383971,282624,-96.82939910888672
1683471465.2603517,284672,-96.69863891601562
1683471473.0698285,286720,-95.62061309814453
1683471480.7585442,288768,-96.4233627319336
1683471487.9270911,290816,-95.65038299560547
1683471494.8895903,292864,-95.74713134765625
1683471501.2283401,294912,-96.25298309326172
1683471508.059318,296960,-96.51652526855469
1683471514.908677,299008,-96.66521453857422
1683471521.5573144,301056,-95.50592803955078
1683471527.9157186,303104,-96.04137420654297
1683471534.5107188,305152,-95.6794662475586
1683471540.4667618,307200,-96.34298706054688
1683471546.9993687,309248,-96.40805053710938
1683471553.5443592,311296,-96.90745544433594
1683471560.075987,313344,-96.6269760131836
1683471566.589036,315392,-96.61724853515625
1683471573.4037921,317440,-95.64315032958984
1683471578.9883835,319488,-97.41983032226562
1683471585.6216202,321536,-96.87982177734375
1683471592.0550997,323584,-97.50106811523438
1683471599.3383145,325632,-96.6736831665039
1683471606.4026322,327680,-95.74172973632812
1683471612.7506156,329728,-96.28543853759766
1683471619.6221707,331776,-95.73604583740234
1683471625.5606341,333824,-95.98277282714844
1683471631.7425408,335872,-97.5328369140625
1683471637.829807,337920,-96.70960235595703
1683471644.081211,339968,-97.36541748046875
1683471650.1730003,342016,-96.90322875976562
1683471657.3895996,344064,-96.6749496459961
1683471663.8488874,346112,-96.59538269042969
1683471670.842479,348160,-96.29302978515625
1683471678.3565366,350208,-96.48587036132812
1683471684.2377694,352256,-95.57868194580078
